agent,full_name,total_commits,refactoring_commits,mean_refactorings,median_refactorings,refactoring_rate_%,denominator
Claude_Code,MeteorDevelopment/meteor-client,1,0.0,0.0,0.0,0.0,Observed agentic commits
Claude_Code,apache/pulsar,3,2.0,3.0,1.0,66.66666666666666,Observed agentic commits
Claude_Code,dotCMS/core,32,20.0,524.09375,12.5,62.5,Observed agentic commits
Claude_Code,hyperledger/besu,1,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,1c-syntax/bsl-language-server,40,15.0,2.275,0.0,37.5,Observed agentic commits
Copilot,AutoMQ/automq,1,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,Azure-Samples/azure-search-openai-demo-java,4,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,Azure/azure-sdk-for-java,106,39.0,108.88679245283019,0.0,36.79245283018868,Observed agentic commits
Copilot,CarGuo/GSYVideoPlayer,2,1.0,1.5,1.5,50.0,Observed agentic commits
Copilot,EduMIPS64/edumips64,36,6.0,2.888888888888889,0.0,16.666666666666664,Observed agentic commits
Copilot,OWASP/wrongsecrets,26,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,RyanSusana/elepy,8,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,W1LDN16H7/JPL,2,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,YunaiV/ruoyi-vue-pro,5,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,akto-api-security/akto,6,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,apolloconfig/apollo,12,5.0,1.6666666666666667,0.0,41.66666666666667,Observed agentic commits
Copilot,binarywang/WxJava,35,5.0,0.5428571428571428,0.0,14.285714285714285,Observed agentic commits
Copilot,camunda/camunda,140,40.0,1.4,0.0,28.57142857142857,Observed agentic commits
Copilot,feiyuchuixue/sz-boot-parent,4,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,geoserver/geoserver,2,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,halo-dev/halo,7,1.0,0.2857142857142857,0.0,14.285714285714285,Observed agentic commits
Copilot,hyperxpro/Brotli4j,4,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,jenkinsci/jira-plugin,6,3.0,15.666666666666666,9.0,50.0,Observed agentic commits
Copilot,microsoft/ApplicationInsights-Java,110,18.0,0.7727272727272727,0.0,16.363636363636363,Observed agentic commits
Copilot,microsoft/HydraLab,4,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,microsoft/semantic-kernel-java,2,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,microsoft/typespec,329,10.0,10.574468085106384,0.0,3.0395136778115504,Observed agentic commits
Copilot,mixpanel/mixpanel-android,7,2.0,0.2857142857142857,0.0,28.57142857142857,Observed agentic commits
Copilot,objectionary/eo,30,3.0,0.6,0.0,10.0,Observed agentic commits
Copilot,qaiu/netdisk-fast-download,2,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,tonihele/OpenKeeper,3,1.0,0.6666666666666666,0.0,33.33333333333333,Observed agentic commits
Copilot,trinodb/trino,3,0.0,0.0,0.0,0.0,Observed agentic commits
Copilot,vaadin/flow,13,3.0,3.8461538461538463,0.0,23.076923076923077,Observed agentic commits
